AIRLINE_ID,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,YEAR,QUARTER,MONTH,DISTANCE_GROUP,CLASS,PAYLOAD,SEATS,PASSENGERS,FREIGHT,MAIL,DISTANCE,RAMP_TO_RAMP,AIR_TIME
20366,11292,11109,2017,2,6,1,F,10000,50,47,0,0,73,50,23
20366,12266,11292,2017,2,6,2,F,10000,50,47,0,0,862,170,136
20366,12266,12012,2017,2,6,2,F,10000,50,49,0,0,886,149,127
19917,11292,10559,2017,2,6,3,G,79755,0,0,18239,5737,1026,164,138
19917,11292,12889,2017,2,6,2,G,108025,0,0,32891,3787,628,104,86
19917,11292,14730,2017,2,6,3,G,79755,0,0,25727,0,1024,148,123
19917,14869,11292,2017,2,6,1,G,79755,0,0,14991,218,391,87,60
19917,14869,11292,2017,2,6,1,G,108025,0,0,66035,0,391,94,57
19805,11292,14057,2017,2,6,2,F,79000,300,267,0,0,991,343,309
19805,12892,11292,2017,2,6,2,F,98300,362,322,428,0,862,329,274
19805,14100,11292,2017,2,6,4,F,79000,300,267,0,0,1558,536,422
19790,11292,13487,2017,2,6,2,F,68892,264,251,188,0,680,211,179
19790,11292,13487,2017,2,6,2,F,98180,360,356,70,0,680,204,174
19790,14869,11292,2017,2,6,1,F,81740,320,287,0,194,391,144,108
20500,11292,11986,2017,2,6,3,F,35220,140,133,0,0,1015,286,241
20500,11423,11292,2017,2,6,2,F,35220,140,122,0,0,589,206,176
20304,11109,11292,2017,2,6,1,F,37480,140,125,0,0,73,84,38
20304,11292,11109,2017,2,6,1,F,37480,140,124,0,0,73,78,36
20304,11292,11921,2017,2,6,1,F,30400,152,87,0,0,212,134,83
20304,11292,12003,2017,2,6,2,F,30400,152,91,0,0,624,236,191
20304,11292,14057,2017,2,6,2,F,30400,152,146,0,0,991,328,287
20304,11292,14683,2017,2,6,2,F,30400,152,138,0,0,794,282,227
20304,11638,11109,2017,2,6,2,F,13500,50,0,0,0,833,169,129
20304,11921,10372,2017,2,6,1,F,36480,139,73,0,0,89,112,73
20304,11921,11292,2017,2,6,1,F,30400,152,64,0,0,212,130,76
20304,11921,11298,2017,2,6,2,F,37480,140,0,0,0,773,242,196
20304,12003,11292,2017,2,6,2,F,30400,152,65,0,0,624,204,161
20304,13930,11921,2017,2,6,3,F,37480,140,96,0,0,1100,440,394
20304,14679,11292,2017,2,6,2,F,30400,152,145,0,0,853,308,243
20304,15919,11292,2017,2,6,2,F,37480,140,108,0,0,616,223,178
19977,10397,11292,2017,2,6,3,F,72337,300,223,375,2511,1199,416,310
19977,11193,11292,2017,2,6,3,F,72444,300,112,106,0,1069,326,294
19977,11278,11292,2017,2,6,3,F,77848,332,314,0,0,1476,471,413
19977,11292,10397,2017,2,6,3,F,70337,300,275,1391,2529,1199,338,296
19977,11292,10721,2017,2,6,4,F,66423,256,244,0,2664,1754,491,440
19977,11292,11278,2017,2,6,3,F,85088,332,322,0,0,1476,371,334
19977,11292,11884,2017,2,6,2,F,73424,300,269,46,0,836,271,230
19977,11292,12278,2017,2,6,1,F,84704,332,180,0,0,420,139,107
19977,11292,14492,2017,2,6,3,F,82724,332,318,33,1852,1436,368,328
19977,11292,14689,2017,2,6,2,F,73244,300,205,0,0,916,276,241
19977,11292,15304,2017,2,6,4,F,71109,256,243,104,3055,1506,426,385
19977,11292,15376,2017,2,6,2,F,73314,300,250,114,0,639,217,182
19977,11603,11292,2017,2,6,2,F,83719,332,273,0,0,996,271,236
19977,11618,11292,2017,2,6,4,F,70764,256,211,19,957,1605,536,450
19977,11884,11292,2017,2,6,2,F,73634,300,255,62,0,836,238,205
19977,11986,11292,2017,2,6,3,F,73000,300,220,4,0,1015,322,286
19977,12278,11292,2017,2,6,1,F,78004,332,149,20,0,420,177,136
19977,12889,11292,2017,2,6,2,F,58924,256,166,0,698,628,214,175
19977,15304,11292,2017,2,6,4,F,69419,256,243,1,1532,1506,422,381
19977,15376,11292,2017,2,6,2,F,59414,300,228,7,0,639,208,172
19393,10713,11292,2017,2,6,2,F,64400,286,217,0,0,649,214,166
